rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-19,BOKURA planet,game,Steam,138.0,event_window,,Gamescom 2026,"Promote BOKURA planet as the storefront equivalent of Devcom Developer Conference (Undergrounded, Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur) for the full event runtime 2026-08-17 to 2026-08-19, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Star Ocean: The Second Story R) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom Opening Night Live 2026 (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
2,2026-08-19,Star Ocean: The Second Story R,game,Multi,78.0,event_window,,Gamescom 2026,"Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom Opening Night Live 2026 (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
3,2026-08-19,Dreadweave,game,Steam,48.0,event_window,,D23: The Ultimate Disney Fan Event,"Promote Dreadweave as the storefront equivalent of D23 (Disney, Marvel, Star Wars) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates. || Promote Dreadweave as the storefront equivalent of D23: The Ultimate Disney Fan Event (Disney, Marvel, Star Wars) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates."
4,2026-08-19,Huntin' Buddie,game,Steam,48.0,event_window,,D23: The Ultimate Disney Fan Event,"Promote Huntin' Buddie as the storefront equivalent of D23 (Disney, Marvel, Star Wars) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates. || Promote Huntin' Buddie as the storefront equivalent of D23: The Ultimate Disney Fan Event (Disney, Marvel, Star Wars) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates."
5,2026-08-19,EA SPORTS Madden NFL 27,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
6,2026-08-19,EA SPORTS Madden NFL 27 Deluxe Edition,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
7,2026-08-19,Madden NFL 27,game,Nintendo,18.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
8,2026-08-19,Madden NFL 27 Deluxe Edition,game,PSN,18.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
9,2026-08-19,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
10,2026-08-19,1666: Amsterdam,game,Multi,18.0,event_window,,1666: Amsterdam release window,"Promote 1666: Amsterdam as the storefront equivalent of 1666: Amsterdam release window (1666: Amsterdam) for the full event runtime 2026-08-25 to 2026-09-08, with a default lead-in and afterglow around those dates."
11,2026-08-19,Ace Combat Assault Horizon Enhanced Edition,game,Steam,18.0,event_window,,Horizon Zero Dawn,"Promote Ace Combat Assault Horizon Enhanced Edition as the storefront equivalent of Horizon Zero Dawn (Horizon, The Legend of Heroes: Trails Beyond the Horizon) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
12,2026-08-19,Anthro Heat,game,Steam,18.0,event_window,,Life Is Strange,"Promote Anthro Heat as the storefront equivalent of Life Is Strange (Life Is Strange) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
13,2026-08-19,Apex Legends Mobile 1050 Syndicate Gold,game,Apex Legends Mobile,18.0,event_window,,STEINS;GATE RE:BOOT release window,"Promote Apex Legends Mobile 1050 Syndicate Gold as the storefront equivalent of STEINS;GATE RE:BOOT release window (STEINS;GATE RE:BOOT) for the full event runtime 2026-08-19 to 2026-09-02, with a default lead-in and afterglow around those dates."
14,2026-08-19,Apex Legends Mobile 11500 Syndicate Gold,game,Apex Legends Mobile,18.0,event_window,,STEINS;GATE RE:BOOT release window,"Promote Apex Legends Mobile 11500 Syndicate Gold as the storefront equivalent of STEINS;GATE RE:BOOT release window (STEINS;GATE RE:BOOT) for the full event runtime 2026-08-19 to 2026-09-02, with a default lead-in and afterglow around those dates."
15,2026-08-19,Apex Legends Mobile 2150 Syndicate Gold,game,Apex Legends Mobile,18.0,event_window,,STEINS;GATE RE:BOOT release window,"Promote Apex Legends Mobile 2150 Syndicate Gold as the storefront equivalent of STEINS;GATE RE:BOOT release window (STEINS;GATE RE:BOOT) for the full event runtime 2026-08-19 to 2026-09-02, with a default lead-in and afterglow around those dates."
